ShopID,Sales,AvgIncome,Price,Temperature,State,Season
1,718,47074,3.11,29,Louisiana,Summer
2,309,52778,2.38,15,Texas,Autumn
3,386,63402,3.02,11,Texas,Autumn
4,149,53106,2.85,7,Louisiana,Winter
5,261,53528,2.84,9,Texas,Autumn
6,206,58830,3.44,4,Louisiana,Winter
7,346,50476,2.2,11,Louisiana,Winter
8,40,68022,3.15,11,Texas,Autumn
9,299,51586,3.33,25,Texas,Autumn
10,215,58506,3.16,14,Louisiana,Autumn
11,415,52304,2.95,10,Louisiana,Winter
12,373,76766,2.41,23,Louisiana,Autumn
13,316,59932,2.87,12,Louisiana,Autumn
14,88,72438,3.16,8,Louisiana,Winter
15,263,47194,3.15,26,Texas,Autumn
16,256,49872,2.43,21,Texas,Autumn
17,179,48396,3.11,13,Louisiana,Autumn
18,202,79110,3.34,12,Louisiana,Autumn
19,366,48478,2.87,25,Louisiana,Spring
20,435,45072,2.6,26,Louisiana,Spring
21,316,55950,3.09,14,Louisiana,Autumn
22,292,76408,2.07,7,Louisiana,Winter
23,129,56876,3.05,8,Louisiana,Autumn
24,44,44286,2.54,6,Texas,Winter
25,53,45818,3.63,13,Texas,Autumn
26,496,58546,2.32,24,Texas,Autumn
27,664,50736,2.64,24,Texas,Autumn
28,440,59796,3.39,20,Louisiana,Autumn
29,418,49148,3.18,24,Louisiana,Autumn
30,23,76096,3.3,8,Louisiana,Autumn
31,284,67298,2.86,11,Texas,Winter
32,457,87006,2.53,26,Texas,Autumn
33,170,50488,2.63,30,Louisiana,Autumn
34,66,73594,2.6,10,Louisiana,Autumn
35,124,58210,3,8,Louisiana,Autumn
36,267,58900,3.21,25,Louisiana,Autumn
37,370,43418,2.75,26,Texas,Spring
38,136,45266,3.44,12,Louisiana,Autumn
39,470,60834,2.57,26,Louisiana,Autumn
40,162,56158,2.59,9,Texas,Winter
41,792,51552,2.47,27,Louisiana,Spring
42,145,60274,3.42,7,Louisiana,Winter
43,126,46948,3.24,13,Louisiana,Autumn
44,372,72486,2.97,10,Louisiana,Autumn
45,476,55124,2.49,14,Texas,Winter
46,431,86728,3.04,11,Louisiana,Autumn
47,245,48044,3.26,13,Louisiana,Autumn
48,279,49874,2.68,23,Texas,Autumn
49,222,69664,3.13,21,Louisiana,Autumn
50,137,65676,3.32,6,Louisiana,Winter
51,195,51800,3.27,6,Texas,Winter
52,389,106106,2.85,26,Texas,Spring
53,507,53650,3.17,25,Louisiana,Spring
54,276,51104,2.66,12,Texas,Winter
55,221,44368,3.31,13,Texas,Autumn
56,320,54374,3.06,24,Texas,Autumn
57,461,69866,3.36,14,Texas,Autumn
58,613,58504,2.74,12,Texas,Autumn
59,319,66786,2.41,23,Louisiana,Autumn
60,218,63568,3.39,4,Louisiana,Winter
61,207,63786,2.78,11,Texas,Autumn
62,473,51208,2.88,9,Texas,Autumn
63,222,47966,2.91,25,Texas,Autumn
64,514,51038,1.83,28,Texas,Autumn
65,466,52916,3.17,15,Texas,Autumn
66,23,50340,3.12,6,Texas,Winter
67,145,61116,3.06,18,Louisiana,Autumn
68,266,61284,2.06,20,Louisiana,Autumn
69,196,92450,3.02,13,Louisiana,Autumn
70,79,55378,2.98,6,Louisiana,Winter
71,379,41508,2.99,31,Texas,Spring
72,63,56694,3.04,5,Louisiana,Winter
73,41,54606,2.87,6,Texas,Winter
74,778,64162,2.43,29,Texas,Summer
75,463,60894,3.02,27,Louisiana,Summer
76,323,63622,3.06,25,Texas,Autumn
77,185,57958,3.15,30,Texas,Autumn
78,128,55380,2.66,7,Texas,Winter
79,381,49696,2.3,24,Louisiana,Autumn
80,358,67616,2.64,25,Louisiana,Autumn
81,423,61780,2.73,10,Texas,Winter
82,325,51742,2.94,22,Texas,Autumn
83,525,53228,3.05,6,Texas,Winter
84,267,55452,2.61,32,Texas,Autumn
85,232,67640,1.86,13,Texas,Autumn
86,365,72306,2.91,24,Louisiana,Autumn
87,37,51670,2.49,12,Louisiana,Autumn
88,504,76168,2.57,5,Texas,Winter
89,544,45800,2.68,28,Texas,Summer
90,256,62578,2.83,11,Louisiana,Autumn
91,153,60486,3.57,12,Louisiana,Autumn
92,43,63392,3.43,10,Louisiana,Autumn
93,459,72648,2.56,25,Texas,Autumn
94,634,47100,3.47,29,Texas,Summer
95,52,44812,2.95,16,Louisiana,Autumn
96,334,45162,2.43,25,Louisiana,Autumn
97,170,51792,3.17,12,Texas,Autumn
98,342,81244,2.06,22,Texas,Autumn
99,48,53568,3.4,9,Louisiana,Winter
100,187,44840,3.08,9,Louisiana,Winter
101,48,45436,2.73,25,Texas,Autumn
102,349,44192,2.55,12,Texas,Autumn
103,360,42120,2.95,28,Texas,Spring
104,275,53582,3.46,8,Texas,Winter
105,413,45804,3.09,28,Louisiana,Summer
106,77,39854,3.21,14,Louisiana,Autumn
107,128,47126,3.19,13,Louisiana,Autumn
108,110,48770,2.95,29,Texas,Autumn
109,361,72652,2.58,8,Texas,Winter
110,80,67416,2.74,7,Louisiana,Winter
111,197,58256,3.5,11,Louisiana,Winter
112,14,62896,3.38,7,Louisiana,Winter
113,674,62452,2.57,24,Texas,Autumn
114,293,68020,2.61,23,Texas,Autumn
115,235,68338,3.08,9,Louisiana,Autumn
116,320,47404,3.06,26,Texas,Autumn
117,128,50908,2.71,8,Louisiana,Winter
118,283,52406,3.12,26,Louisiana,Autumn
119,800,54536,0.94,26,Texas,Spring
120,300,52316,2.95,9,Texas,Winter
121,374,75834,2.28,8,Louisiana,Winter
122,420,69730,2.76,21,Texas,Autumn
123,331,62156,3.39,26,Louisiana,Spring
124,335,48308,2.25,25,Louisiana,Spring
125,324,43118,2.64,27,Texas,Autumn
126,211,40308,2.68,21,Texas,Autumn
127,126,41624,3.32,11,Texas,Winter
128,184,51118,3,24,Louisiana,Autumn
129,230,43188,3.45,12,Louisiana,Autumn
130,293,43180,3.24,27,Texas,Spring
131,453,59836,2.97,26,Louisiana,Spring
132,342,55394,2.62,18,Texas,Autumn
133,9,91332,2.98,6,Louisiana,Winter
134,159,47720,2.81,23,Texas,Autumn
135,747,77504,2.04,28,Texas,Summer
136,224,43850,2.72,11,Texas,Winter
137,190,55732,3.17,5,Texas,Winter
138,453,50602,2.61,27,Texas,Spring
139,227,75890,3.41,8,Louisiana,Winter
140,174,68220,2.91,8,Louisiana,Autumn
141,36,67012,3.17,4,Louisiana,Winter
142,273,47726,2.64,12,Texas,Autumn
143,109,71636,3.44,7,Louisiana,Winter
144,224,42108,3.59,27,Texas,Autumn
145,595,52662,3.12,26,Louisiana,Spring
146,341,46782,2.91,28,Louisiana,Autumn
147,15,49398,3.31,11,Louisiana,Autumn
148,240,71974,2.71,28,Louisiana,Autumn
149,278,46754,2.5,28,Louisiana,Autumn
150,68,47442,2.75,27,Louisiana,Autumn
151,13,42182,3.03,6,Texas,Winter
152,205,67718,2.99,16,Louisiana,Autumn
153,319,64408,2.66,9,Louisiana,Winter
154,40,49848,3.13,9,Louisiana,Winter
155,210,50320,2.56,15,Texas,Autumn
156,299,46412,2.51,17,Texas,Autumn
157,277,62068,3.21,30,Louisiana,Spring
158,330,50922,3.45,11,Texas,Autumn
159,218,55934,2.87,24,Texas,Autumn
160,386,52808,3.24,9,Louisiana,Winter
161,154,45892,3.06,25,Texas,Spring
162,210,55150,2.75,13,Texas,Winter
163,369,61010,3.56,12,Louisiana,Autumn
164,147,44250,2.68,13,Texas,Autumn
165,63,47984,3.1,8,Louisiana,Autumn
166,120,47260,2.68,25,Louisiana,Autumn
167,651,52244,3.06,28,Texas,Spring
168,55,43804,2.77,12,Texas,Autumn
169,640,57062,3.29,32,Texas,Summer
170,253,45556,2.33,27,Texas,Autumn
171,367,52636,2.49,27,Louisiana,Summer
172,406,70790,2.88,21,Louisiana,Autumn
173,73,46694,2.61,22,Louisiana,Autumn
174,472,94520,2.97,8,Louisiana,Winter
175,108,52124,3.21,6,Louisiana,Winter
176,376,61590,3.37,21,Texas,Autumn
177,550,66732,2.57,27,Texas,Spring
178,211,59790,2.99,24,Louisiana,Autumn
179,198,42688,2.6,28,Louisiana,Spring
180,385,41150,2.75,24,Louisiana,Autumn
181,192,56292,3.23,4,Louisiana,Winter
182,75,53280,2.91,16,Louisiana,Autumn
183,348,44604,2.89,13,Texas,Autumn
184,479,62254,2.67,22,Texas,Autumn
185,516,64758,3.14,28,Louisiana,Spring
186,164,58500,3.27,24,Louisiana,Autumn
187,211,87636,2.94,8,Louisiana,Autumn
188,568,47014,2.44,26,Texas,Autumn
189,138,41950,3.12,19,Louisiana,Autumn
190,157,60412,2.99,6,Louisiana,Winter
191,237,65850,2.34,9,Louisiana,Autumn
192,200,45592,3.04,10,Louisiana,Winter
193,585,61882,3.05,28,Louisiana,Summer
194,466,52252,2.76,12,Texas,Autumn
195,330,64680,3.14,26,Louisiana,Summer
196,383,52916,1.97,19,Texas,Autumn
197,25,76126,3.25,11,Louisiana,Winter
198,258,46074,2.93,25,Texas,Autumn
199,221,52634,3.27,24,Texas,Autumn
200,280,54666,3.2,9,Louisiana,Autumn
201,259,50226,3.26,10,Louisiana,Autumn
202,386,45948,3.18,24,Texas,Autumn
203,356,54866,2.78,20,Texas,Autumn
204,422,57622,3.08,24,Louisiana,Autumn
205,368,47212,2.93,26,Texas,Spring
206,488,48024,3.12,24,Louisiana,Autumn
207,158,43138,3.06,10,Louisiana,Autumn
208,131,57394,2.93,11,Texas,Autumn
209,160,42480,3.01,24,Texas,Autumn
210,181,63696,3.21,10,Louisiana,Autumn
211,217,51734,2.26,23,Louisiana,Autumn
212,130,49804,3.66,16,Louisiana,Autumn
213,436,50608,3.09,25,Louisiana,Autumn
214,488,90788,2.69,13,Texas,Autumn
215,40,67660,3.47,7,Louisiana,Autumn
216,485,56838,2.84,9,Texas,Winter
217,298,73156,3.22,12,Texas,Autumn
218,57,51380,3.05,6,Texas,Winter
219,57,46740,3.57,9,Louisiana,Winter
220,264,52144,2.81,16,Louisiana,Autumn
221,306,76676,2.76,8,Texas,Winter
222,393,39500,3.36,11,Texas,Winter
223,565,46462,2.39,26,Texas,Autumn
224,153,54310,2.98,13,Louisiana,Autumn
225,544,55820,2.35,28,Texas,Summer
226,487,46070,2.69,31,Louisiana,Summer
227,325,50640,3.18,26,Texas,Autumn
228,308,51870,2.79,11,Texas,Winter
229,587,72460,2.87,23,Texas,Autumn
230,349,50694,2.7,26,Texas,Autumn
231,72,69978,3.24,11,Louisiana,Autumn
232,144,42998,3.31,29,Louisiana,Autumn
233,490,64790,2.96,27,Texas,Spring
234,254,67424,1.24,7,Texas,Winter
235,204,52292,2.48,12,Texas,Autumn
236,64,45210,3,23,Texas,Autumn
237,256,67552,3.06,25,Louisiana,Autumn
238,108,60772,3.32,9,Texas,Winter
239,395,52598,2.62,10,Texas,Winter
240,278,94066,3.43,14,Louisiana,Autumn
241,280,48400,2.69,15,Texas,Autumn
242,420,58668,3.44,19,Texas,Autumn
243,319,54742,3.38,12,Texas,Autumn
244,66,45612,3.15,12,Louisiana,Autumn
245,193,58508,2.95,12,Louisiana,Autumn
246,215,43430,1.7,24,Louisiana,Autumn
247,479,91732,2.3,25,Louisiana,Autumn
248,185,52566,2.59,11,Texas,Winter
249,267,70836,3.11,7,Louisiana,Autumn
250,253,61910,2.87,23,Louisiana,Autumn
251,20,48290,3.56,25,Louisiana,Autumn
252,607,61008,3,29,Texas,Summer
253,537,53362,3.07,31,Texas,Autumn
254,97,53648,3.5,22,Louisiana,Autumn
255,154,54066,3.11,17,Louisiana,Autumn
256,586,49618,3.02,29,Texas,Summer
257,279,58308,3.09,13,Texas,Autumn
258,274,57354,2.91,9,Louisiana,Winter
259,167,45464,2.84,6,Texas,Winter
260,122,42060,3.22,21,Louisiana,Autumn
261,125,57004,2.75,24,Louisiana,Autumn
262,451,64724,2.85,29,Texas,Spring
263,78,56220,3.41,8,Louisiana,Autumn
264,249,63198,3.06,10,Texas,Autumn
265,172,68950,2.67,9,Louisiana,Winter
266,197,54438,3.29,9,Louisiana,Autumn
267,142,48264,3.01,25,Louisiana,Spring
268,538,51250,2.73,26,Texas,Autumn
269,163,48884,3.42,12,Texas,Autumn
270,370,50650,2.89,22,Texas,Autumn
271,72,75684,3.08,5,Louisiana,Winter
272,33,54196,2.98,8,Louisiana,Winter
273,255,57294,3.25,12,Louisiana,Autumn
274,12,42256,3.59,23,Louisiana,Autumn
275,470,73146,3.2,23,Texas,Autumn
276,145,78508,2.66,7,Louisiana,Winter
277,261,58360,3.06,7,Louisiana,Winter
278,246,46488,2.84,22,Texas,Autumn
279,167,64276,3.23,5,Louisiana,Winter
280,375,49066,2.66,27,Texas,Autumn
281,179,45648,3.35,10,Louisiana,Autumn
282,416,54814,2.66,25,Texas,Autumn
283,189,42448,3.45,14,Texas,Autumn
284,532,53736,3.35,34,Texas,Summer
285,294,57272,2.84,19,Louisiana,Autumn
286,362,48080,2.72,14,Louisiana,Autumn
287,260,69928,2.72,10,Louisiana,Autumn
288,179,53532,2.91,10,Louisiana,Winter
289,366,55970,3.14,28,Louisiana,Summer
290,39,80340,2.4,8,Texas,Winter
291,148,64048,2.95,10,Louisiana,Autumn
292,202,39558,2.98,24,Texas,Autumn
293,189,49486,3.2,24,Texas,Autumn
294,326,51404,2.64,22,Louisiana,Autumn
295,109,51036,3.35,8,Louisiana,Autumn
296,250,51440,3.72,29,Texas,Spring
297,116,49582,3.12,6,Louisiana,Winter
298,485,61020,2.84,4,Texas,Winter
299,138,44418,2.74,23,Louisiana,Autumn
300,229,76598,2.56,7,Louisiana,Winter
301,247,74008,2.81,8,Louisiana,Winter
302,219,55092,3.12,11,Texas,Autumn
303,220,57658,3.24,8,Louisiana,Autumn
304,281,66426,2.77,12,Louisiana,Autumn
305,196,49516,2.62,9,Louisiana,Autumn
306,526,48906,3.02,28,Texas,Autumn
307,301,62018,2.81,22,Louisiana,Autumn
308,29,85678,3.04,5,Louisiana,Winter
309,270,44346,3.32,27,Texas,Autumn
310,455,61132,3.13,30,Texas,Spring
311,21,49536,3.47,11,Louisiana,Autumn
312,226,86714,2.82,5,Louisiana,Winter
313,383,48692,2.61,27,Texas,Autumn
314,499,81020,2.73,22,Texas,Autumn
315,345,51826,2.87,31,Texas,Autumn
316,278,47866,2.94,25,Louisiana,Autumn
317,272,46292,3.09,14,Texas,Autumn
318,156,49758,3.26,12,Louisiana,Autumn
319,544,54934,2.48,31,Louisiana,Autumn
320,290,57150,3.16,5,Louisiana,Winter
321,306,70182,3.23,18,Texas,Autumn
322,323,55862,2.6,22,Louisiana,Autumn
323,696,56006,2.82,26,Louisiana,Summer
324,368,50930,2.81,22,Texas,Autumn
325,278,48336,3.63,24,Louisiana,Autumn
326,220,53542,2.54,23,Louisiana,Autumn
327,192,65642,2.67,9,Louisiana,Winter
328,256,66834,2.96,8,Louisiana,Winter
329,197,50208,3.08,9,Texas,Winter
330,125,52440,3.1,26,Louisiana,Autumn
331,693,66238,2.39,27,Louisiana,Spring
332,176,53068,2.94,22,Texas,Autumn
333,179,59928,2.6,10,Texas,Autumn
334,577,52190,2.47,26,Texas,Spring
335,100,63420,3.19,9,Louisiana,Winter
336,133,84800,3.21,7,Louisiana,Winter
337,3,40378,3.15,22,Texas,Autumn
338,276,59538,2.52,20,Texas,Autumn
339,481,74222,2.85,10,Louisiana,Autumn
340,124,53516,3.03,25,Louisiana,Autumn
341,583,71568,2.97,25,Louisiana,Spring
342,198,50674,2.87,11,Louisiana,Winter
343,184,64208,3.06,11,Louisiana,Autumn
344,463,58840,2.81,24,Louisiana,Autumn
345,504,52158,2.96,10,Texas,Autumn
346,163,56704,2.61,12,Texas,Autumn
347,251,56534,3.02,3,Louisiana,Winter
348,83,53426,2.94,14,Texas,Autumn
349,258,44870,2.99,7,Texas,Winter
350,153,55580,3.08,25,Louisiana,Autumn
351,378,55818,3.06,13,Louisiana,Autumn
352,139,60366,2.71,7,Louisiana,Winter
353,91,56318,3.26,5,Louisiana,Winter
354,90,48650,3.47,11,Louisiana,Autumn
355,152,70612,2.79,15,Louisiana,Autumn
356,101,73080,3.24,8,Louisiana,Winter
357,165,48520,2.16,8,Louisiana,Winter
358,144,60240,2.91,9,Louisiana,Winter
359,81,68758,3.15,14,Louisiana,Autumn
360,326,49538,3.17,11,Texas,Autumn
361,198,56272,3.02,13,Texas,Autumn
362,101,78854,3.18,2,Louisiana,Winter
363,283,48424,2.76,27,Louisiana,Spring
364,485,46230,2.98,27,Louisiana,Summer
365,65,45038,3.19,25,Louisiana,Autumn
366,312,78552,2.98,7,Texas,Winter
367,247,60458,2.91,13,Texas,Autumn
368,249,47516,2.13,27,Texas,Autumn
369,64,58594,2.58,23,Louisiana,Autumn
370,306,45738,2.89,23,Texas,Autumn
371,268,64466,2.91,7,Louisiana,Autumn
372,164,58912,2.63,24,Texas,Autumn
373,290,49902,2.76,21,Texas,Autumn
374,271,46216,2.69,26,Louisiana,Autumn
375,655,52024,3.56,27,Texas,Summer
376,139,49152,2.85,14,Texas,Autumn
377,313,79730,3.06,25,Louisiana,Autumn
